epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1065,0.92269,3.10179,1.30553,0.01391,0.93977,0.28842,0.17797,0.50964,2.90542,0.95261,6.668e-05,6.668e-05,6.668e-05
2,46.2636,0.80919,2.74225,1.20517,0.01241,0.95455,0.41059,0.30196,0.54758,2.82845,0.93726,0.000145079,0.000145079,0.000145079
3,68.7134,0.8745,2.31483,1.20635,0.01223,0.95455,0.43596,0.32783,0.57723,2.60138,0.94973,0.000217977,0.000217977,0.000217977
4,91.057,0.92083,2.01209,1.29196,0.78608,0.05017,0.43742,0.3441,0.63615,2.48125,0.98041,0.000285374,0.000285374,0.000285374
5,113.265,0.84428,1.82329,1.18664,0.80065,0.16981,0.43997,0.33103,0.71697,2.46095,1.05181,0.000347269,0.000347269,0.000347269
6,136.43,0.85588,1.72249,1.19792,0.79372,0.325,0.4976,0.39683,0.73358,2.30101,1.04314,0.000403664,0.000403664,0.000403664
7,159.094,0.80002,1.57999,1.18277,0.72243,0.54204,0.62961,0.4872,0.81625,1.90991,1.09458,0.000454558,0.000454558,0.000454558
8,181.513,0.8325,1.46136,1.2178,0.66423,0.58389,0.5963,0.4365,0.87751,2.02938,1.16174,0.00049995,0.00049995,0.00049995
9,203.911,0.87384,1.5497,1.23406,0.62301,0.66705,0.53933,0.36751,0.78111,1.9133,1.12886,0.000539841,0.000539841,0.000539841
10,228.048,0.80202,1.41397,1.15302,0.57517,0.6038,0.50672,0.33977,0.85366,1.89051,1.22983,0.000574231,0.000574231,0.000574231
11,252.385,0.82589,1.40165,1.17579,0.66874,0.59205,0.57291,0.41328,0.85891,1.90108,1.20231,0.000603121,0.000603121,0.000603121
12,276.523,0.86129,1.38177,1.20819,0.68529,0.56725,0.55103,0.42273,0.77995,1.91512,1.06879,0.000626509,0.000626509,0.000626509
13,299.027,0.8391,1.37616,1.17166,0.64909,0.59968,0.58145,0.44472,0.79533,1.89945,1.06736,0.000644396,0.000644396,0.000644396
14,323.859,0.80454,1.315,1.16866,0.75108,0.65643,0.71398,0.55429,0.81715,1.65252,1.10037,0.000656781,0.000656781,0.000656781
15,348.655,0.80683,1.30347,1.18799,0.71847,0.72273,0.7156,0.48787,0.98085,1.81101,1.2212,0.000663666,0.000663666,0.000663666
16,375.386,0.84648,1.3994,1.18058,0.70759,0.6631,0.69625,0.46225,1.05387,1.85592,1.28196,0.00066505,0.00066505,0.00066505
17,401.973,0.8191,1.28549,1.16523,0.75237,0.7224,0.72466,0.48157,0.99772,1.67554,1.25702,0.000660932,0.000660932,0.000660932
18,426.378,0.88669,1.36316,1.19411,0.73824,0.75719,0.7428,0.50073,0.96955,1.67053,1.24011,0.000651314,0.000651314,0.000651314
19,451.497,0.77596,1.30199,1.14092,0.64348,0.76645,0.68801,0.45838,0.98473,1.65011,1.27816,0.000636194,0.000636194,0.000636194
20,476.648,0.81275,1.21631,1.17821,0.69936,0.71545,0.67036,0.4781,0.8945,1.65911,1.20929,0.000615573,0.000615573,0.000615573
21,499.853,0.70815,1.39557,1.12201,0.68315,0.74613,0.71451,0.50947,0.88594,1.58766,1.20967,0.00056678,0.00056678,0.00056678
22,523.234,0.68264,1.41237,1.12618,0.85052,0.68025,0.75735,0.50739,0.96911,1.6085,1.27495,0.000511769,0.000511769,0.000511769
23,547.272,0.72304,1.28292,1.13353,0.71482,0.74091,0.75946,0.47589,1.05195,1.7053,1.34956,0.000456758,0.000456758,0.000456758
24,571.122,0.62516,1.26838,1.05419,0.78012,0.77841,0.85028,0.57698,0.92925,1.60019,1.25513,0.000401747,0.000401747,0.000401747
25,594.995,0.68317,1.23679,1.12333,0.78004,0.78406,0.85026,0.61841,0.84391,1.4983,1.18019,0.000346736,0.000346736,0.000346736
26,618.742,0.6166,1.2057,1.06747,0.81051,0.7946,0.83757,0.62926,0.79315,1.40919,1.13374,0.000291725,0.000291725,0.000291725
27,642.538,0.60885,1.15351,1.0465,0.80738,0.77554,0.83596,0.64195,0.75998,1.35133,1.09637,0.000236714,0.000236714,0.000236714
28,666.51,0.55595,1.02073,1.03092,0.75308,0.87159,0.82094,0.62399,0.73685,1.27673,1.06922,0.000181703,0.000181703,0.000181703
29,690.113,0.56651,1.05887,1.01465,0.80753,0.86726,0.8312,0.63312,0.73873,1.25747,1.07003,0.000126692,0.000126692,0.000126692
30,713.305,0.57808,1.02588,1.01603,0.80065,0.86163,0.83277,0.6294,0.74392,1.2564,1.07719,7.1681e-05,7.1681e-05,7.1681e-05
